key,es,en,ca,pt,de,gl,eu
socialQuestions.0.options.0.text,"Ver lo primero que aparece en mi pantalla principal o feed.","Watch the first thing that appears on my main screen or feed.","Veure el primer que apareix a la meva pantalla principal o feed.","Ver o primeiro que aparece no ecrã principal ou no feed.","Ich schaue mir das Erste an, was auf meinem Hauptbildschirm oder Feed erscheint.","Ver o primeiro que aparece na miña pantalla principal ou feed.","Nire pantaila nagusian edo feed-ean agertzen den lehenengo gauza ikusi."
socialQuestions.0.options.1.text,"Deslizar y dar 'me gusta' a lo que me atrae para que el algoritmo aprenda.","Scroll and 'like' what appeals to me so the algorithm learns.","Lliscar i fer 'm'agrada' al que m'atreu perquè l'algorisme aprengui.","Deslizar e dar 'gosto' ao que me atrai para que o algoritmo aprenda.","Ich scrolle und 'like' das, was mich anspricht, damit der Algorithmus lernt.","Esvarar e darlle 'gústame' ao que me atrae para que o algoritmo aprenda.","Scroll egin eta gustuko dudanari 'atsegin dut' eman, algoritmoak ikas dezan."
socialQuestions.0.options.2.text,"Usar el buscador o etiquetas (hashtags) para encontrar algo específico.","Use the search bar or tags (hashtags) to find something specific.","Utilitzar el cercador o etiquetes (hashtags) per trobar alguna cosa específica.","Usar o motor de busca ou etiquetas (hashtags) para encontrar algo específico.","Ich benutze die Suche oder Tags (Hashtags), um etwas Bestimmtes zu finden.","Usar o buscador ou etiquetas (hashtags) para atopar algo específico.","Bilatzailea edo etiketak (hashtag-ak) erabili zerbait zehatza bilatzeko."
socialQuestions.0.options.3.text,"Ir directamente a perfiles o canales que mi comunidad me ha recomendado.","Go straight to profiles or channels my community has recommended.","Anar directament a perfils o canals que la meva comunitat m'ha recomanat.","Ir diretamente a perfis ou canais que a minha comunidade me recomendou.","Ich gehe direkt zu Profilen oder Kanälen, die meine Community mir empfohlen hat.","Ir directamente a perfís ou canles que a miña comunidade me recomendou.","Nire komunitateak gomendatutako profil edo kanaletara joan zuzenean."
socialQuestions.1.text,"¿Cómo decides si una publicación o vídeo en {plataforma} vale la pena?","How do you decide if a post or video on {plataforma} is worth it?","Com decideixes si una publicació o vídeo a {plataforma} val la pena?","Como decide se uma publicação ou vídeo no {plataforma} vale a pena?","Wie entscheidest du, ob sich ein Beitrag oder Video auf {plataforma} lohnt?","Como decides se unha publicación ou vídeo en {plataforma} paga a pena?","Nola erabakitzen duzu {plataforma} plataformako argitalpen edo bideo batek merezi duen?"
socialQuestions.1.options.0.text,"Dejo que se reproduzca; confío ciegamente en el algoritmo.","I just let it play; I blindly trust the algorithm.","Deixo que es reprodueixi; confio cegament en l'algorisme.","Deixo reproduzir; confio cegamente no algoritmo.","Ich lasse es einfach abspielen; ich vertraue dem Algorithmus blind.","Deixo que se reproduza; confío cegamente no algoritmo.","Erreproduzitzen uzten dut; algoritmoan itsu-itsuan konfiantza dut."
socialQuestions.1.options.1.text,"Valoro si se parece a otras cosas que ya he consumido en este espacio.","I consider if it's similar to other things I've already consumed here.","Valoro si s'assembla a altres coses que ja he consumit en aquest espai.","Avalio se é parecido com outras coisas que já consumi neste espaço.","Ich bewerte, ob es Dingen ähnelt, die ich hier bereits konsumiert habe.","Valoro se se parece a outras cousas que xa consumín neste espazo.","Espazio honetan jada kontsumitu ditudan beste gauza batzuen antzekoa den baloratzen dut."
socialQuestions.1.options.2.text,"Salgo de la app para buscar más información en otras fuentes.","I leave the app to look for more information from other sources.","Surto de l'app per buscar més informació en altres fonts.","Saio da app para procurar mais informações noutras fontes.","Ich verlasse die App, um in anderen Quellen nach weiteren Informationen zu suchen.","Saio da app para buscar máis información noutras fontes.","Aplikaziotik irteten naiz beste iturri batzuetan informazio gehiago bilatzeko."
socialQuestions.1.options.3.text,"Analizo por qué me lo recomiendan y si existen sesgos comerciales o de viralidad.","I analyze why it's being recommended to me and if there are commercial or viral biases.","Analitzo per què m'ho recomanen i si existeixen biaixos comercials o de viralitat.","Analiso por que motivo mo recomendam e se existem enviesamentos comerciais ou de viralidade.","Ich analysiere, warum es mir empfohlen wird und ob es kommerzielle oder virale Voreingenommenheiten gibt.","Analizo por que mo recomendan e se existen rumbos comerciais ou de viralidade.","Niri zergatik gomendatzen didaten eta promozio edo bidezkotasun-alborapenik dagoen analizatzen dut."
socialQuestions.2.text,"¿Qué haces cuando el sistema de {plataforma} te muestra contenidos sesgados o que no te gustan?","What do you do when {plataforma}'s system shows biased content or things you don't like?","Què fas quan el sistema de {plataforma} et mostra continguts esbiaixats o que no t'agraden?","O que faz quando o sistema do {plataforma} lhe mostra conteúdos enviesados ou de que não gosta?","Was machst du, wenn das System von {plataforma} dir voreingenommene Inhalte oder Dinge anzeigt, die dir nicht gefallen?","Que fas cando o sistema de {plataforma} che mostra contidos nesgados ou que non che gustan?","Zer egiten duzu {plataforma} plataformak alboratutako edukiak edo gustuko ez dituzun gauzak erakusten dizkizunean?"
socialQuestions.2.options.0.text,"Sigo consumiendo el contenido pasivamente y deslizo rápido.","I keep consuming the content passively and scroll quickly.","Continuo consumint el contingut passivament i llisco ràpid.","Continuo a consumir o conteúdo passivamente e deslizo rápido.","Ich konsumiere die Inhalte weiterhin passiv und scrolle schnell weiter.","Sigo consumindo o contido pasivamente e esvaro rápido.","Edukia pasiboki kontsumitzen jarraitzen dut eta azkar pasatzen dut."
socialQuestions.2.options.1.text,"Uso la opción de 'no me interesa' para tratar de educar al sistema.","I use the 'not interested' option to try and educate the system.","Utilitzo l'opció de 'no m'interessa' per intentar educar el sistema.","Uso a opção de 'não me interessa' para tentar educar o sistema.","Ich benutze die Option 'Kein Interesse', um zu versuchen, das System zu erziehen.","Uso a opción de 'non me interesa' para tentar educar o sistema.","'Ez zait interesatzen' aukera erabiltzen dut sistema hezten saiatzeko."
socialQuestions.2.options.2.text,"Reflexiono sobre los sesgos de la plataforma y su impacto social.","I reflect on the platform's biases and their social impact.","Reflexiono sobre els biaixos de la plataforma i el seu impacte social.","Reflito sobre os enviesamentos da plataforma e o seu impacto social.","Ich denke über die Voreingenommenheit der Plattform und deren soziale Auswirkungen nach.","Reflexiono sobre os rumbos da plataforma e o seu impacto social.","Plataformaren alborapenei eta haien eragin sozialari buruzko hausnarketa egiten dut."
socialQuestions.2.options.3.text,"Dejo de usar la aplicación y busco espacios informativos más diversos.","I stop using the app and look for more diverse informational spaces.","Deixo d'utilitzar l'aplicació i busco espais informatius més diversos.","Deixo de usar a aplicação e procuro espaços informativos mais diversos.","Ich höre auf, die Anwendung zu nutzen und suche nach vielfältigeren Informationsräumen.","Deixo de usar a aplicación e busco espazos informativos máis diversos.","Aplikazioa erabiltzeari uzten diot eta informazio-espazio anitzagoak bilatzen ditut."
socialQuestions.3.text,"¿Hasta qué punto consideras que controlas lo que consumes en {plataforma}?","To what extent do you feel you control what you consume on {plataforma}?","Fins a quin punt consideres que controles el que consumeixes a {plataforma}?","Até que ponto considera que controla o que consome no {plataforma}?","Inwiefern hast du das Gefühl, zu kontrollieren, was du auf {plataforma} konsumierst?","Ata que punto consideras que controlas o que consomes en {plataforma}?","{plataforma} plataforman kontsumitzen duzuna kontrolatzen duzun neurria zein da?"
socialQuestions.3.options.0.text,"Nada, la plataforma decide el flujo y me resulta cómodo.","Not at all, the platform decides the flow and I find it comfortable.","Gens, la plataforma decideix el flux i em resulta còmode.","Nada, a plataforma decide o fluxo e é confortável para mim.","Gar nicht, die Plattform bestimmt den Fluss und ich finde das bequem.","Nada, a plataforma decide o fluxo e resúltame cómodo.","Inondik inora ere ez, plataformak erabakitzen du fluxua eta erosoa zait."
socialQuestions.3.options.1.text,"Algo, porque moldeo mi perfil mediante mis interacciones diarias.","Somewhat, because I shape my profile through daily interactions.","Una mica, perquè modelo el meu perfil mitjançant les meves interaccions diàries.","Um pouco, porque moldo o meu perfil através das minhas interações diárias.","Ein wenig, weil ich mein Profil durch meine täglichen Interaktionen forme.","Algo, porque modelo o meu perfil mediante as miñas interaccións diarias.","Zerbait, nire profila eguneroko elkarrekintzen bidez moldatzen dudalako."
socialQuestions.3.options.2.text,"Bastante, porque entro con propósitos claros de búsqueda.","Quite a lot, because I log in with clear search purposes.","Bastant, perquè entro amb propòsits clars de cerca.","Bastante, porque entro com propósitos claros de pesquisa.","Ziemlich viel, weil ich mit klaren Suchabsichten einsteige.","Bastante, porque entro con propósitos claros de busca.","Nahiko, bilaketa-helburu argiekin sartzen naizelako."
socialQuestions.3.options.3.text,"Total, soy consciente de cuándo entrar y evito su sistema automatizado.","Totally, I'm aware of when to log in and I avoid its automated system.","Totalment, soc conscient de quan entrar i evito el seu sistema automatitzat.","Totalmente, tenho consciência de quando entrar e evito o seu sistema automatizado.","Vollkommen, ich bin mir bewusst, wann ich einsteige, und meide das automatisierte System.","Total, son consciente de cando entrar e evito o seu sistema automatizado.","Guztiz, badakit noiz sartu eta haren sistema automatizatua saihesten dut."
socialQuestions.4.text,"Si quieres descubrir nuevas cuentas o tendencias en {plataforma}, ¿cómo lo haces?","If you want to discover new accounts or trends on {plataforma}, how do you do it?","Si vols descobrir nous comptes o tendències a {plataforma}, com ho fas?","Se quiser descobrir novas contas ou tendências no {plataforma}, como o faz?","Wenn du neue Accounts oder Trends auf {plataforma} entdecken möchtest, wie gehst du vor?","Se queres descubrir novas contas ou tendencias en {plataforma}, como o fas?","Kontu berriak edo joerak ezagutu nahi badituzu {plataforma} plataforman, nola egiten duzu?"
socialQuestions.4.options.0.text,"Dejo que la sección de sugerencias o 'Para ti' me guíe.","I let the suggestions or 'For You' section guide me.","Deixo que la secció de suggeriments o 'Per a tu' em guiï.","Deixo que a secção de sugestões ou 'Para ti' me guie.","Ich lasse mich von den Vorschlägen oder der 'Für dich'-Sektion leiten.","Deixo que a sección de suxestións ou 'Para ti' me guíe.","Iradokizun edo 'Zuretzat' atalak gidatzen nau."
socialQuestions.4.options.1.text,"Reviso listas, canales recomendados o etiquetas de mis gustos.","I check lists, recommended channels, or tags of my interests.","Reviso llistes, canals recomanats o etiquetes dels meus gustos.","Reviso listas, canais recomendados ou etiquetas dos meus interesses.","Ich schaue mir Listen, empfohlene Kanäle oder Tags meiner Interessen an.","Reviso listas, canles recomendadas ou etiquetas dos meus gustos.","Nire gustuko zerrendak, gomendatutako kanalak edo etiketak aztertzen ditut."
socialQuestions.4.options.2.text,"Pregunto a amistades o consulto medios fuera de la red.","I ask friends or consult media outside the network.","Pregunto a amistats o consulto mitjans fora de la xarxa.","Pergunto a amizades ou consulto media fora da rede.","Ich frage Freunde oder konsultiere Medien außerhalb des Netzwerks.","Pregunto a amizades ou consulto medios fóra da rede.","Lagunei galdetzen diet edo saretik kanpoko baliabideak kontsultatzen ditut."
socialQuestions.4.options.3.text,"Investigo de forma independiente, fuera de las tendencias dominantes.","I research independently, outside the dominant trends.","Investigo de forma independent, fora de les tendències dominants.","Investigo de forma independente, fora das tendências dominantes.","Ich recherchiere unabhängig, abseits der dominierenden Trends.","Investigo de forma independente, fóra das tendencias dominantes.","Modu independentean ikertzen dut, joera nagusietatik kanpo."
socialQuestions.5.text,"¿Qué opinión te merecen los contenidos 'Virales' o 'Tendencias' de {plataforma}?","What is your opinion on 'Viral' or 'Trending' content on {plataforma}?","Quina opinió et mereixen els continguts 'Virals' o 'Tendències' de {plataforma}?","Que opinião tem sobre os conteúdos 'Virais' ou 'Tendências' do {plataforma}?","Was hältst du von 'viralen' Inhalten oder 'Trends' auf {plataforma}?","Que opinión che merecen os contidos 'Virais' ou 'Tendencias' de {plataforma}?","Zer iritzi duzu {plataforma} plataformako eduki 'Biralen' edo 'Joeren' inguruan?"
socialQuestions.5.options.0.text,"Son mi guía principal para estar al día de lo que ocurre.","They are my main guide to stay up to date with what's happening.","Són la meva guia principal per estar al dia del que passa.","São o meu guia principal para estar a par do que acontece.","Sie sind mein Hauptleitfaden, um auf dem Laufenden zu bleiben.","Son a miña guía principal para estar ao día do que ocorre.","Gertatzen denaren berri izateko nire gida nagusia dira."
socialQuestions.5.options.1.text,"Los miro si encajan casualmente con lo que suelo ver.","I look at them if they happen to fit what I usually watch.","Els miro si encaixen casualment amb el que solc veure.","Vejo-os se, por acaso, coincidirem com o que costumo ver.","Ich schaue sie mir an, wenn sie zufällig zu dem passen, was ich normalerweise sehe.","Miroos se encaixan casualment co que adoito ver.","Begiratzen ditut nire ohiko gustuekin kasualitatez bat egiten badute."
socialQuestions.5.options.2.text,"Los tomo como referencia inicial, pero formo mi propia opinión fuera.","I take them as an initial reference, but form my own opinion outside.","Els prenc com a referència inicial, però formo la meva pròpia opinió fora.","Uso-os como referência inicial, mas formo a minha própria opinião fora dali.","Ich nehme sie als anfängliche Referenz, bilde mir aber außerhalb meine eigene Meinung.","Tómoos como referencia inicial, pero formo a miña propia opinión fóra.","Hasierako erreferentzia gisa hartzen ditut, baina nire iritzia kanpoan eraikitzen dut."
socialQuestions.5.options.3.text,"Los evito porque suelen ser fruto de intereses promocionales.","I avoid them because they are usually the result of promotional interests.","Els evito perquè solen ser fruit d'interessos promocionals.","Evito-os porque costumam ser fruto de interesses promocionais.","Ich meide sie, weil sie oft das Ergebnis werblicher Interessen sind.","Evítoos porque adoitan ser froito de intereses promocionais.","Saihestu egiten ditut, interes sustatzaileen ondorio izan ohi direlako."
socialQuestions.6.text,"¿Con qué frecuencia buscas contenido que rompa con tu 'burbuja' o preferencias habituales en {plataforma}?","How often do you search for content that breaks your 'bubble' or usual preferences on {plataforma}?","Amb quina freqüència busques contingut que trenqui amb la teva 'bombolla' o preferències habituals a {plataforma}?","Com que frequência procura conteúdos que rompam a sua 'bolha' ou preferências habituais no {plataforma}?","Wie oft suchst du auf {plataforma} nach Inhalten, die deine 'Blase' oder gewohnten Vorlieben durchbrechen?","Con que frecuencia buscas contido que rompa coa túa 'burbulla' ou preferencias habituais en {plataforma}?","Zenbat bider bilatzen duzu zure 'burbuila' edo ohiko lehentasunak hautsi ditzakeen edukia {plataforma} plataforman?"
socialQuestions.6.options.0.text,"Nunca, sigo el flujo constante que me da la plataforma.","Never, I follow the constant flow the platform gives me.","Mai, segueixo el flux constant que em dóna la plataforma.","Nunca, sigo o fluxo constante que a plataforma me dá.","Nie, ich folge dem stetigen Fluss, den die Plattform mir gibt.","Nunca, sigo o fluxo constante que me dá a plataforma.","Inoiz ez, plataformak ematen didan etengabeko fluxuari jarraitzen diot."
socialQuestions.6.options.1.text,"Raramente, me resulta más cómodo mi entorno familiar de intereses.","Rarely, I find my familiar environment of interests more comfortable.","Rarament, em resulta més còmode el meu entorn familiar d'interessos.","Raramente, considero o meu ambiente familiar de interesses mais confortável.","Selten, ich finde mein vertrautes Interessenumfeld bequemer.","Raramente, resúltame máis cómoda a miña contorna familiar de intereses.","Gutxitan, nire interesen ingurune ezaguna erosoagoa zait."
socialQuestions.6.options.2.text,"Frecuentemente, busco de forma activa temáticas distintas usando el buscador.","Frequently, I actively search for different topics using the search bar.","Freqüentment, busco de forma activa temàtiques diferents utilitzant el cercador.","Frequentemente, procuro de forma ativa temas diferentes usando a pesquisa.","Häufig, ich suche aktiv mit der Suchfunktion nach anderen Themen.","Frecuentemente, busco de forma activa temáticas distintas usando o buscador.","Maiz, bilatzailea erabiliz gai desberdinak aktiboki bilatzen ditudalako."
socialQuestions.6.options.3.text,"Siempre, hago búsquedas sistemáticas para mantener una visión plural.","Always, I conduct systematic searches to maintain a pluralistic view.","Sempre, faig cerques sistemàtiques per mantenir una visió plural.","Sempre, faço pesquisas sistemáticas para manter uma visão plural.","Immer, ich führe systematische Suchen durch, um eine plurale Sichtweise zu bewahren.","Sempre, fago buscas sistemáticas para manter unha visión plural.","Beti, bilaketa sistematikoak egiten ditut ikuspegi plural bati eusteko."
socialQuestions.7.text,"Al interactuar (guardar, compartir, comentar) en {plataforma}, ¿cuál es tu motivación principal?","When interacting (saving, sharing, commenting) on {plataforma}, what is your main motivation?","A l'interactuar (guardar, compartir, comentar) a {plataforma}, quina és la teva motivació principal?","Ao interagir (guardar, partilhar, comentar) no {plataforma}, qual é a sua principal motivação?","Wenn du auf {plataforma} interagierst (speichern, teilen, kommentieren), was ist deine Hauptmotivation?","Ao interactuar (gardar, compartir, comentar) en {plataforma}, cal é a túa motivación principal?","{plataforma} plataforman elkarreragitean (gorde, partekatu, iruzkindu), zein da zure motibazio nagusia?"
socialQuestions.7.options.0.text,"Lo hago por inercia, sin pensarlo mucho.","I do it out of habit, without thinking much about it.","Ho faig per inèrcia, sense pensar-ho gaire.","Faço-o por inércia, sem pensar muito no assunto.","Ich tue es aus Gewohnheit, ohne viel darüber nachzudenken.","Fágoo por inercia, sen pensalo moito.","Inertziaz egiten dut, askorik pentsatu gabe."
socialQuestions.7.options.1.text,"Para que la interfaz me siga mostrando publicaciones similares.","So that the interface keeps showing me similar posts.","Perquè la interfície em continuï mostrant publicacions similars.","Para que a interface me continue a mostrar publicações semelhantes.","Damit mir die Benutzeroberfläche weiterhin ähnliche Beiträge anzeigt.","Para que a interface me siga mostrando publicacións similares.","Interfazeak antzeko argitalpenak erakusten jarrai diezadan."
socialQuestions.7.options.2.text,"Intento no interactuar demasiado para proteger mis datos personales.","I try not to interact too much to protect my personal data.","Intento no interactuar massa per protegir les meves dades personals.","Tento não interagir muito para proteger os meus dados pessoais.","Ich versuche, nicht zu viel zu interagieren, um meine persönlichen Daten zu schützen.","Tento non interactuar demasiado para protexer os meus datos persoais.","Asko ez elkarreragiten saiatzen naiz nire datu pertsonalak babesteko."
socialQuestions.7.options.3.text,"Para dar apoyo genuino a quien crea contenido, sin importar el algoritmo.","To genuinely support content creators, regardless of the algorithm.","Per donar suport genuí a qui crea contingut, sense importar l'algorisme.","Para dar apoio genuíno a quem cria o conteúdo, independentemente do algoritmo.","Um Inhaltsersteller aufrichtig zu unterstützen, unabhängig vom Algorithmus.","Para dar apoio xenuíno a quen crea contido, sen importar o algoritmo.","Sortzaileei zintzotasunez laguntzeko elkarreragiten duzu, ez makina entrenatzeko."
socialQuestions.8.text,"Si pasas demasiado tiempo haciendo 'scroll' infinito en {plataforma}, ¿cómo reaccionas?","If you spend too much time 'doomscrolling' on {plataforma}, how do you react?","Si passes massa temps fent 'scroll' infinit a {plataforma}, com reacciones?","Se passar muito tempo a fazer 'scroll' infinito no {plataforma}, como reage?","Wenn du zu viel Zeit mit endlosem 'Scrollen' auf {plataforma} verbringst, wie reagierst du?","Se pasas demasiado tempo facendo 'scroll' infinito en {plataforma}, como reaccionas?","{plataforma} plataforman scroll infinitua egiten denbora gehiegi pasatzen baduzu, nola erreakzionatzen duzu?"
socialQuestions.8.options.0.text,"Sigo mirando, me cuesta salir del piloto automático.","I keep watching, I find it hard to get out of autopilot.","Continuo mirant, em costa sortir del pilot automàtic.","Continuo a ver, custa-me sair do piloto automático.","Ich schaue weiter, es fällt mir schwer, den Autopiloten zu verlassen.","Sigo mirando, cústame saír do piloto automático.","Ikusten jarraitzen dut, autopilotutik ateratzea kostatzen zait."
socialQuestions.8.options.1.text,"Intento centrarme y buscar alguna temática más concreta y útil.","I try to focus and find a more specific and useful topic.","Intento centrar-me i buscar alguna temàtica més concreta i útil.","Tento focar-me e procurar algum tema mais concreto e útil.","Ich versuche mich zu konzentrieren und ein konkreteres und nützlicheres Thema zu finden.","Tento centrarme e buscar algunha temática máis concreta e útil.","Zentratzen saiatzen naiz eta gai zehatzago eta erabilgarriago bat bilatzen dut."
socialQuestions.8.options.2.text,"Salgo para contrastar en internet algo interesante que he visto.","I exit to cross-check something interesting I saw on the internet.","Surto per contrastar a internet alguna cosa interessant que he vist.","Saio para verificar na internet algo interessante que vi.","Ich gehe raus, um etwas Interessantes, das ich gesehen habe, im Internet abzugleichen.","Saio para contrastar na internet algo interesante que vin.","Irten egiten naiz interneten ikusi dudan zerbait interesgarria alderatzeko."
socialQuestions.8.options.3.text,"Me desconecto intencionadamente para realizar actividades fuera de las pantallas.","I intentionally disconnect to do activities away from screens.","Em desconnecto intencionadament per fer activitats fora de les pantalles.","Desconecto-me intencionalmente para realizar atividades fora dos ecrãs.","Ich logge mich absichtlich aus, um Aktivitäten abseits von Bildschirmen nachzugehen.","Desconéctome intencionadamente para realizar actividades fóra das pantallas.","Nahi gabe deskonektatzen naiz pantailatik urrun jarduerak egiteko."
socialQuestions.9.text,"¿Cómo describirías tu relación ideal con {plataforma}?","How would you describe your ideal relationship with {plataforma}?","Com descriuries la teva relació ideal amb {plataforma}?","Como descreveria a sua relação ideal com o {plataforma}?","Wie würdest du deine ideale Beziehung zu {plataforma} beschreiben?","Como describirías a túa relación ideal con {plataforma}?","Nola deskribatuko zenuke zure harreman ideala {plataforma} plataformarekin?"
socialQuestions.9.options.0.text,"Que me ofrezca entretenimiento constante sin requerir esfuerzo por mi parte.","That it offers constant entertainment without requiring effort from me.","Que m'ofereixi entreteniment constant sense requerir esforç per part meva.","Que me ofereça entretenimento constante sem exigir esforço da minha parte.","Dass es mir ständige Unterhaltung bietet, ohne dass ich mich anstrengen muss.","Que me ofreza entretemento constante sen requirir esforzo pola miña banda.","Nire aldetik ahaleginik eskatu gabe etengabeko entretenimendua eskaintzea."
socialQuestions.9.options.1.text,"Que me permita adaptar mi espacio mediante mis clics y 'me gusta' diarios.","That it lets me adapt my space through my daily clicks and 'likes'.","Que em permeti adaptar el meu espai mitjançant els meus clics i 'm'agrada' diaris.","Que me permita adaptar o meu espaço mediante os meus cliques e 'gostos' diários.","Dass es mir erlaubt, meinen Raum durch meine täglichen Klicks und 'Likes' anzupassen.","Que me permita adaptar o meu espazo mediante os meus clics e 'gústame' diarios.","Nire espazioa eguneroko kliken eta 'atsegin duten' bidez moldatzen uztea."
socialQuestions.9.options.2.text,"Que sea una herramienta de búsqueda donde yo tomo la iniciativa.","That it acts as a search tool where I take the initiative.","Que sigui una eina de cerca on jo prenc la iniciativa.","Que seja uma ferramenta de pesquisa onde eu tomo a iniciativa.","Dass es ein Suchwerkzeug ist, bei dem ich die Initiative ergreife.","Que sexa unha ferramenta de busca onde eu tomo a iniciativa.","Ekimen aktiboa hartzen dudan bilaketa-tresna izatea."
socialQuestions.9.options.3.text,"Que sea un recurso puntual, manteniendo yo el control soberano de mi tiempo.","That it's just an occasional resource, keeping sovereign control of my time.","Que sigui un recurs puntual, mantenint jo el control sobirà del meu temps.","Que seja um recurso pontual, mantendo eu o controlo soberano do meu tempo.","Dass es nur eine punktuelle Ressource ist, während ich souverän über meine Zeit bestimme.","Que sexa un recurso puntual, mantendo eu o control soberano do meu tempo.","Noizbehinkako baliabide bat izatea, nire denboraren kontrol subiranoari eutsiz."
streamingQuestions.0.text,"Al abrir {plataforma} sin saber qué elegir, ¿qué sueles hacer?","When opening {plataforma} without knowing what to pick, what do you usually do?","A l'obrir {plataforma} sense saber què triar, què sols fer?","Ao abrir o {plataforma} sem saber o que escolher, o que costuma fazer?","Wenn du {plataforma} öffnest, ohne zu wissen, was du wählen sollst, was tust du normalerweise?","Ao abrir {plataforma} sen saber que elixir, que adoitas facer?","Zer aukeratu argi izan gabe {plataforma} irekitzean, zer egin ohi duzu?"
streamingQuestions.0.options.0.text,"Poner la primera recomendación destacada o de reproducción automática.","Play the first featured recommendation or autoplay.","Posar la primera recomanació destacada o de reproducció automàtica.","Coloco a primeira recomendação destacada ou a reprodução automática.","Ich spiele die erste hervorgehobene Empfehlung ab oder nutze Autoplay.","Pór a primeira recomendación destacada ou de reprodución automática.","Gomendatutako lehenengo gauza edo erreprodukzio automatikoa jarri."
streamingQuestions.0.options.1.text,"Navegar por las filas de 'Porque viste...' o categorías similares.","Browse through the 'Because you watched...' rows or similar categories.","Navegar per les files de 'Perquè vas veure...' o categories similars.","Navego pelas filas de 'Porque viu...' ou categorias semelhantes.","Ich navigiere durch die Reihen 'Weil du ... gesehen hast' oder ähnliche Kategorien.","Navegar polas filas de 'Porque viches...' ou categorías similares.","'Zuk ikusi duzulako...' edo antzeko kategorietan nabigatu."
streamingQuestions.0.options.2.text,"Usar el buscador para encontrar un título, artista o género concreto.","Use the search bar to find a specific title, artist, or genre.","Utilitzar el cercador per trobar un títol, artista o gènere concret.","Uso a pesquisa para encontrar um título, artista ou género específico.","Ich benutze die Suchfunktion, um einen bestimmten Titel, Künstler oder ein Genre zu finden.","Usar o buscador para atopar un título, artista ou xénero concreto.","Bilatzailea erabili titulu, artista edo genero zehatz bat bilatzeko."
streamingQuestions.0.options.3.text,"Buscar una obra que mis amistades o la crítica me han recomendado previamente.","Look for a work that my friends or critics have previously recommended to me.","Buscar una obra que les meves amistats o la crítica m'han recomanat prèviament.","Procuro uma obra que as minhas amizades ou a crítica me recomendaram previamente.","Ich suche nach einem Werk, das mir von Freunden oder Kritikern zuvor empfohlen wurde.","Buscar unha obra que as miñas amizades ou a crítica me recomendaron previamente.","Nire lagunek edo kritikariek aurretik gomendatutako lan bat bilatu."
streamingQuestions.1.text,"¿Cómo decides si un contenido sugerido por {plataforma} merece tu tiempo?","How do you decide if a piece of content suggested by {plataforma} is worth your time?","Com decideixes si un contingut suggerit per {plataforma} mereix el teu temps?","Como decide se um conteúdo sugerido pelo {plataforma} merece o seu tempo?","Wie entscheidest du, ob ein von {plataforma} empfohlener Inhalt deine Zeit wert ist?","Como decides se un contido suxerido por {plataforma} merece o teu tempo?","Nola erabakitzen duzu {plataforma} plataformak iradokitako eduki batek zure denbora merezi duela?"
streamingQuestions.1.options.0.text,"Empiezo a verlo o escucharlo directamente sin dudar.","I just start watching or listening to it directly without hesitation.","Començo a veure'l o escoltar-lo directament sense dubtar.","Começo a ver ou ouvir diretamente sem hesitar.","Ich fange einfach direkt und ohne zu zögern an, es zu schauen oder zu hören.","Comezo a velo ou escoitalo directamente sen dubidar.","Zuzenean ikusten edo entzuten hasten naiz inolako zalantzarik gabe."
streamingQuestions.1.options.1.text,"Me fijo en el porcentaje de affinity o si se parece a mi historial.","I look at the affinity percentage or if it's similar to my history.","Em fixo en el percentatge d'afinitat o si s'assembla al meu historial.","Fixo-me na percentagem de afinidade ou se é parecido com o meu histórico.","Ich achte auf den Übereinstimmungsprozentsatz oder ob es meinem Verlauf ähnelt.","Fíxome na porcentaxe de afinidade ou se se parece ao meu historial.","Afinitate ehunekoari edo nire historiarekiko antzekotasunari begiratzen diot."
streamingQuestions.1.options.2.text,"Busco críticas o puntuaciones en webs externas (ej. FilmAffinity, IMDB).","I look for reviews or scores on external websites (e.g., IMDB).","Busco crítiques o puntuacions a webs externes (ex. FilmAffinity, IMDB).","Procuro críticas ou pontuações em sites externos (ex. FilmAffinity, IMDB).","Ich suche nach Kritiken oder Bewertungen auf externen Websites (z.B. IMDb).","Busco críticas ou puntuacións en webs externas (ex. FilmAffinity, IMDB).","Kanpoko webguneetan kritika edo puntuazioak bilatzen ditut (adibidez, FilmAffinity, IMDB)."
streamingQuestions.1.options.3.text,"Me pregunto si es una promoción de la propia plataforma antes de elegir.","I wonder if it's a promotion from the platform itself before choosing.","Em pregunto si és una promoció de la pròpia plataforma abans de triar.","Pergunto-me se é uma promoção da própria plataforma antes de escolher.","Ich frage mich, ob es eine Eigenwerbung der Plattform ist, bevor ich wähle.","Pregúntome se é unha promoción da propia plataforma antes de elixir.","Aukeratu aurretik plataformaren beraren sustapen bat ote den galdetzen diot nire buruari."
streamingQuestions.2.text,"¿Qué haces si {plataforma} te insiste con obras muy comerciales o que no encajan contigo?","What do you do if {plataforma} insists on highly commercial works or things that don't fit you?","Què fas si {plataforma} t'insisteix amb obres molt comercials o que no encaixen amb tu?","O que faz se o {plataforma} insistir com obras muito comerciais ou que não têm a ver consigo?","Was machst du, wenn {plataforma} dir sehr kommerzielle Werke aufdrängt oder Dinge, die nicht zu dir passen?","Que fas se {plataforma} insísteche con obras moi comerciais ou que non encaixen contigo?","Zer egiten duzu {plataforma} plataformak zurekin bat ez datozen eduki oso komertzialak behin eta berriz gomendatzen badizkizu?"
